Schuljahr,Amtlicher Gemeindeschlüssel,Verwaltungsbezirk,Schulformschlüssel,Schulform,Schulnummer,Kurzbezeichnung der Schule,Amtliche Bezeichnung 1,Amtliche Bezeichnung 2,Amtliche Bezeichnung 3,Rechtsstatus,Straße und Hausnummer,Postleitzahl,Ort,Homepage,Amtlicher Gemeinde-schlüssel,"Verwaltungsbezirk
(Haupt- und Nebensitz der Schule)",Art der Adresse,Anzahl,Sozialindex,latitude,longitude,found_address
2024/25,5758032,"Spenge, Stadt",15,Gesamtschule,190330,"Spenge, GE Regenbogen",Regenbogen-Gesamtschule,der Stadt Spenge,- Sekundarstufen I und II -,Öffentlich,Immanuel-Kant-Str. 2,32139,Spenge,http://www.rges.de,5758032,"Spenge, Stadt",Hauptsitz,855,3,52.1439869,8.4868226,"Städt. Realschule Spenge, 2, Immanuel-Kant-Straße, Spenge, Kreis Herford, Nordrhein-Westfalen, 32139, Deutschland"
2024/25,5758036,"Vlotho, Stadt",2,Grundschule,125910,"Vlotho, GG Herforder Str.",Städt. Gem. Grundschule,,,Öffentlich,Bonneberger Str. 25,32602,Vlotho,https://gs-vlotho.online/,5758036,"Vlotho, Stadt",Nebensitz,45,4,52.1601925,8.8319691,"25, Bonneberger Straße, Valdorf, Bonneberg, Vlotho, Kreis Herford, Nordrhein-Westfalen, 32602, Deutschland"
2024/25,5758036,"Vlotho, Stadt",2,Grundschule,125921,"Vlotho, GG Hans-Schwarze",Hans-Schwarze-Grundschule Valdorf,Gem. Grundschule der Stadt Vlotho,- Primarstufe -,Öffentlich,Topsundernweg 18,32602,Vlotho,http://www.hans-schwarze-grundschule.de,5758036,"Vlotho, Stadt",Hauptsitz,205,2,52.1495635,8.8566887,"Hans-Schwarze-Grundschule Valdorf, 18, Topsundernweg, Bretthorst, Valdorf, Vlotho, Kreis Herford, Nordrhein-Westfalen, 32602, Deutschland"
2024/25,5758036,"Vlotho, Stadt",2,Grundschule,127139,"Vlotho, GG (Verb.) Uffeln-Exter",Grundschulverbund Uffeln-Exter,der Stadt Vlotho,- Primarstufe -,Öffentlich,Buhnstr. 60,32602,Vlotho,https://www.grundschulverbund-uffeln-exter.de/,5758036,"Vlotho, Stadt",Hauptsitz,160,1,52.176412,8.8812801,"60, Buhnstraße, Buhn, Uffeln, Vlotho, Kreis Herford, Nordrhein-Westfalen, 32602, Deutschland"
2024/25,5758036,"Vlotho, Stadt",14,Sekundarschule,196848,"Vlotho, SK Weser-Sekundarschule",Weser-Sekundarschule der Stadt Vlotho,- Sekundarstufe I -,,Öffentlich,Jägerortstr. 30,32602,Vlotho,https://www.weser-sekundarschule.de/,5758036,"Vlotho, Stadt",Hauptsitz,435,3,52.1588671,8.8609228,"30, Jägerortstraße, Galgenkamp, Vlotho, Kreis Herford, Nordrhein-Westfalen, 32602, Deutschland"
2024/25,5758036,"Vlotho, Stadt",20,Gymnasium,168816,"Vlotho, Gym Weser",Städt. Weser-Gymnasium,- Sekundarstufen I und II -,,Öffentlich,Professor-Domagk-Str. 12,32602,Vlotho,http://www.weser-gymnasium.de,5758036,"Vlotho, Stadt",Hauptsitz,605,1,52.1638935,8.8698711,"Weser-Gymnasium Vlotho, 12, Prof.-Domagk-Straße, Winterberg, Vlotho, Kreis Herford, Nordrhein-Westfalen, 32602, Deutschland"
2024/25,5762004,"Bad Driburg, Stadt",2,Grundschule,100026,"Bad Driburg, GG Schule unter der Iburg",Schule unter der Iburg,Städt. Gemeinschaftsgrundschule,"Bad Driburg, -Primarstufe-",Öffentlich,Jahnstr. 12,33014,Bad Driburg,http://www.schule-unter-der-iburg.de,5762004,"Bad Driburg, Stadt",Hauptsitz,485,2,51.7346457,9.016357,"12, Jahnstraße, Widukind-Siedlung, Bad Driburg, Kreis Höxter, Nordrhein-Westfalen, 33014, Deutschland"
2024/25,5762004,"Bad Driburg, Stadt",2,Grundschule,100076,"Bad Driburg, GG St. Walburga Neuenheerse",Grundschule St. Walburga Neuenheerse,"Kath.Bekenntnisgrundschule,priv.Ersatz.","f.d. Primar.,d.Trägervereins St.Walburga",Privat,Taildor 8,33014,Bad Driburg,http://www.st-walburga-grundschule.de,5762004,"Bad Driburg, Stadt",Hauptsitz,105,,51.673952,8.9992676,"8, Taildor, Feriendorf, Neuenheerse, Bad Driburg, Kreis Höxter, Nordrhein-Westfalen, 33014, Deutschland"
2024/25,5762004,"Bad Driburg, Stadt",2,Grundschule,127814,"Bad Driburg, GG Dringenberg",Gem. Grundschule Dringenberg,- Primarstufe -,,Öffentlich,Ludwig-von-Dringenberg-Str. 10,33014,Bad Driburg,http://www.ggs-dringenberg.de,5762004,"Bad Driburg, Stadt",Hauptsitz,125,1,51.6716619,9.059506,"10, Ludwig-von-Dringenberg-Straße, Dringenberg, Bad Driburg, Kreis Höxter, Nordrhein-Westfalen, 33014, Deutschland"
2024/25,5762004,"Bad Driburg, Stadt",15,Gesamtschule,197695,"Bad Driburg, GE Geschwister-Scholl-Str.",Gesamtschule Bad Driburg,Städtische Schule,- Sekundarstufen I und II -,Öffentlich,Geschwister-Scholl-Str. 1,33014,Bad Driburg,http://www.gesamtschule-baddriburg.de,5762004,"Bad Driburg, Stadt",Hauptsitz,410,4,51.7272687,9.018941,"1, Geschwister-Scholl-Straße, Widukind-Siedlung, Bad Driburg, Kreis Höxter, Nordrhein-Westfalen, 33014, Deutschland"
2024/25,5762004,"Bad Driburg, Stadt",20,Gymnasium,168853,"Bad Driburg, Gym St. Xaver",Gymnasium St. Xaver,Staatl. genehmigtes Gymnasium des,Erzbistums Paderborn  - Sek. I u. II -,Privat,Dringenberger Str. 32,33014,Bad Driburg,http://www.st-xaver.de,5762004,"Bad Driburg, Stadt",Hauptsitz,715,,51.7308381,9.0165826,"Gymnasium St. Xaver, 32, Dringenberger Straße, Widukind-Siedlung, Bad Driburg, Kreis Höxter, Nordrhein-Westfalen, 33014, Deutschland"
